标题,链接,排名,反链数,简介
北京数字学校,/Html/site_bdschool.cn.html,186674,46,网站简介：北京数字学校...
陕西师范大学,/site_www.snnu.edu.cn.html,48641,262,网站简介：陕西师范大学位于“十三朝古都”西安，是教育部直属“国家重点大学”，是国家“211工程”、国家“985工程优势学科创新平台”重点建设高校；是六所教育部直属重点师范大学之...
易考吧,/Html/site_etest8.com.html,195838,1515,网站简介：易考吧（www.etest8.com）网站是深圳赛络科技有限公司下属的全资网站，建立于2006年9月，网站主要为各广大提供一站式服务的专业考试培训门户网站。...
编织人生,/Html/site_bianzhirensheng.com.html,260195,1151,网站简介：编织人生手工编织网（www.bianzhirensheng.com）提供时尚毛衣编织教程，钩针编织花样，棒针编织款式，儿童毛衣图案，毛线编织围巾，儿童毛衣织法，diy手工制作俱乐部，十字...
天星教育网,/Html/site_tesoon.com.html,572183,75,网站简介：天星教育网（www.tesoon.com）是一家服务于中学师生、教育团体的综合教育门户网站，凭借快速权威的考试信息、海量教学资源以及公司强大的图书资源优势成为国内教育行业的领...
兰州大学,/site_www.lzu.edu.cn.html,8808,230,网站简介：兰州大学是教育部直属的全国重点综合性大学，是国家“985工程”和“211工程”重点建设高校之一。兰州大学学科特色鲜明，学科门类齐全，涵盖了除军事学以外的所有11个学科门...
启德教育集团,/Html/site_eic.org.cn.html,150712,197,"网站简介：EIC启德教育集团,中国首选国际教育服务提供商,30年出国留学、语言培训服务经验保证。全国咨询电话：400-1010-123..."
罗湖教育信息网,/Html/site_luohuedu.net.html,22402,177,网站简介：罗湖教育信息网（www.luohuedu.net）。...
上海交通大学,/site_www.sjtu.edu.cn.html,785,780,网站简介：上海交通大学官方网站，上海交通大学是教育部直属、教育部与上海市共建的全国重点大学，是国家 “七五”、“八五”重点建设、全国首批7所“211工程”和首批9所“985工程”建...
中学历史教学园地,/Html/site_zxls.com.html,84766,86,网站简介：...
中南民族大学,/site_www.scuec.edu.cn.html,153056,110,"网站简介：中南民族大学,培养民族人才的摇篮,中南民族大学是一所直属国家民族事务委员会的综合性普通高等院校， 坐落于白云黄鹤的故乡——武汉南湖之滨。..."
湖南工业大学,/Html/site_hut.edu.cn.html,302584,122,网站简介：湖南工业大学是一所具有50多年办学历史的多科性大学，是&amp;quot;服务国家特殊需求博士人才培养项目&amp;quot;高校。2006年2月，经教育部批准，学校由株洲工学院更名为湖南...
同济大学,/site_www.tongji.edu.cn.html,3135,566,网站简介：同济大学创建于1907年，是教育部直属全国重点大学，国家“211工程”和“985工程”重点建设高校，也是首批经国务院批准成立研究生院的高校。...
海南师范大学,/Html/site_hainnu.edu.cn.html,133132,140,网站简介：海南师范大学是海南省办学历史悠久、教师教育特色鲜明、综合办学实力较强的省重点大学，坐落在美丽的滨海旅游城市、国家历史文化名城——海口市。...
河南省招生办公室,/Html/site_heao.gov.cn.html,208983,462,"网站简介：河南省招生办公室，是负责普通和成人中等及以上教育招生考试工作，是省教育厅领导的副厅级事业单位。
负责高校远程网上录取的管理和实施普通高校招生考试科目改革工作等。..."
国防科学技术大学,/site_www.nudt.edu.cn.html,15820,142,网站简介：国防科技大学是国防部和教育部双重领导下的国家重点综合性大学，列入国家“985工程”和“211工程”的重点建设。学校的前身是1953年创建于黑龙江省哈尔滨市的军事工程学院，...
书香中国,/Html/site_chineseall.cn.html,229535,631,网站简介：书香中国是中文在线旗下网站，提供十万余册正版电子书免费在线阅读，涵盖畅销小说、人文社科、经管励志、人物传记等，并支持组织读书征文活动、分享书籍等，致力于成为中国...
华北电力大学,/site_www.ncepu.edu.cn.html,64001,262,网站简介：华北电力大学是教育部直属国家“211工程”、“985工程优势学科创新平台”全国重点大学，为国民经济发展和社会进步培养高素质电力创新型人才发挥了重要作用。...
阿卡索外教网,/Html/site_acadsoc.com.cn.html,57004,1,"网站简介：阿卡索外教网，国内在线英语培训的领导品牌,外教均来自国际知名学府，为学员提供在线一对一口语培训,选择阿卡索是学英语的不二之选！..."
你好网,/Html/site_nihaowang.com.html,124996,159,网站简介：你好网（www.nihaowang.com），囊括中国承认的海外院校、229国家地区风景和实名点评。数千出国旅游、留学等服务机构随时回答你出国的一切问题。...
留学360,/Html/site_liuxue360.com.html,436511,1521,网站简介：留学360是中国专业出国留学中介咨询服务机构：中国自助留学行业第一品牌，提供留学资讯，移民资讯，大学排名，留学费用，签证指导、留学生活和留学就业等相关信息，海外院校...
天津师范大学,/Html/site_tjnu.edu.cn.html,71007,157,网站简介：天津师范大学是天津市属重点院校，始建于1958年，原名天津师范学院，1982年更名为天津师范大学。1999年4月，原天津师范大学、天津师范高等专科学校、天津教育学院合并组建新...
中央音乐学院,/Html/site_ccom.edu.cn.html,108802,613,网站简介：中央音乐学院（Central Conservatory of Music），简称央音，位于中国首都北京。学院成立于1949年，是一所培养高级专门音乐人才的高等学府，直属于中华人民共和国教育部，是...
陕西人事考试网,/Html/site_sxrsks.cn.html,90777,324,网站简介：陕西省人事考试中心是陕西省人事厅直属事业单位，成立于1994年9月。主要承担中央国家机关公务员录用考试、陕西省各级党政机关公务员录用考试、陕西省事业单位工作人员招录考...
好学教育,/Html/site_5haoxue.net.html,421535,2026,网站简介：【好学教育】让您考试一次过关，打造师资强、课程棒、通过率高、服务好的O2O学习平台，提供专业权威的建筑、医学、财会、教师、司法考试、英语一站式服务。...
孔夫子旧书网,/site_shop.kongfz.com.html,1522,197,网站简介：孔夫子旧书网是国内领先的古旧书交易平台，汇集全国各地13000家网上书店，50000家书摊，展示多达9000万种书籍；大量极具收藏价值的古旧珍本（明清、民国古籍善本，珍品期刊...
上海市教育考试院,/site_www.shmeea.edu.cn.html,28746,175,网站简介：上海市教育考试院（www.shmeea.edu.cn）。...
山东人事考试信息网,/Html/site_hrss.shandong.gov.cn.html,6116,0,网站简介：山东人事考试信息网...
新课标第一网,/Html/site_xkb1.com.html,63964,185,"网站简介：提供课件,免费课件,试题,教案下载..."
西北大学,/site_www.nwu.edu.cn.html,23496,165,网站简介：西北大学（Northwest University），简称“西大”，始建于1902年，由清末光绪皇帝御笔朱批设立[1]  ，坐落于古都西安，是国家教育部与陕西省人民政府共建的综合性全国重点大...
Word联盟,/Html/site_wordlm.com.html,40326,97,网站简介：word联盟打造国内专业的办公软件学习平台，microsoft word教程技术及word视频教程，word2003免费版官方下载，word2007下载，word2010下载等众多资讯！...
21世纪教育资讯频道,/site_news.21cnjy.com.html,15065,17,网站简介：资讯...
四川理工学院,/Html/site_suse.edu.cn.html,150689,79,网站简介：四川理工学院（Sichuan University of Science &amp; Engineering），简称川理工（SUSE），位于四川省自贡市，前身是1965年建立的原华东化工学院西南分院。2003年4月经教育...
辽宁人事考试网,/Html/site_lnrsks.com.html,62375,244,网站简介：辽宁省人事考试局主办网站...
学而思网校,/Html/site_xueersi.com.html,54426,455,网站简介：学而思网校是好未来教育集团旗下中小学在线教育品牌，也是国内率先整合“互联网”与“教育”两大领域，以“让学习更有效”为宗旨的中小学在线学习平台之一。...
桂林理工大学,/Html/site_glut.edu.cn.html,17835,73,网站简介：桂林理工大学是中央与地方共建、以广西壮族自治区管理为主的高校。学校源于1956年原国家重工业部在广西组建的桂林地质学校，历经五改归属、十易校名的发展历程，其中，1978...
中公山东人事考试信息网,/site_sd.offcn.com.html,1752,252,"网站简介：中公山东人事考试信息网,研析山东省人事考试信息,精选山东公务员考试、国家公务员考试、事业单位等公职考试时讯,是山东公务员考试信息网,还是山东人事考试备考站!..."
天津科技大学,/Html/site_tust.edu.cn.html,73488,252,网站简介：天津科技大学位于渤海之滨、海河之畔，是中央和地方共建、天津市重点建设的以工为主，工、理、文、经、管、法、艺等学科协调发展的多科性大学。学校在五十余年的办学历程中...
浙江中医药大学,/Html/site_zcmu.edu.cn.html,85901,22,网站简介：浙江中医药大学创建于1953年6月，时名为浙江省中医进修学校；1959年6月成立浙江中医学院，正式开展全日制本科教育，校址位于杭州市庆春街原浙江大学旧址；2000年3月整体迁至...
中国华文教育网,/Html/site_hwjyw.com.html,222675,54,网站简介：中国华文教育网是面向全球华文学校教师、华裔青少年学习中华语言和传统文化的服务平台，是华文教育专家、学者、教师和学生相互交流及分享经验心得的园地。国务院侨务办公室...
小语吧,/Html/site_520xy8.com.html,880189,109,"网站简介：小语网 520xy8.com 是中国大的小学语文门户网站，为您提供小学语文,小学语文课本,小学语文教案设计,课件,课文,说课稿,教学设计和小学语文教学教材分析等小学语文权威资讯...."
安徽农业大学,/Html/site_ahau.edu.cn.html,53484,216,网站简介：安徽农业大学...
爱思想,/Html/site_aisixiang.com.html,47423,167,网站简介：爱思想...
腾讯课堂,/site_ke.qq.com.html,9,661,网站简介：腾讯推出的专业在线教育平台。依托QQ群视频和腾讯视频直播能力，实现老师在线上课教学，学生即时互动学习的课堂。下设职业培训、公务员考试、托福雅思、考证考级、英语口语...
北京航空航天大学,/site_www.buaa.edu.cn.html,3545,431,网站简介：北京航空航天大学官方网站，学校现隶属于工业和信息化部，是国家“211工程”和“985工程”建设的重点高校。北航亦是中华人民共和国教育部，中国工程院以及北京市人民政府的...
爱问知识人,/Html/site_iask.com.html,14851,972,网站简介：新浪爱问研发的国内第一个中文互动型问答产品。汇聚亿万网民头脑中的智慧、经验和知识，为用户提供发表提问、解答问题、搜索答案、资料下载、词条分享等全方位知识共享服务...
中国政法大学,/site_www.cupl.edu.cn.html,15158,401,网站简介：中国政法大学是一所以法学为特色和优势，兼有文学、历史学、哲学、经济学、管理学、教育学、理学等多学科的“211工程”重点建设大学，“‘985工程’优势学科创新平台” 和“...
上海工程技术大学,/Html/site_sues.edu.cn.html,53280,78,网站简介：上海工程技术大学是工程技术、经济管理和艺术设计等多学科互相渗透、协调发展的全日制普通高等学校。学校的主校区坐落于上海松江大学城。松江校区占地近1200亩，总建筑面积...
铁血网,/Html/site_tiexue.net.html,72058,34581,网站简介：铁血网...
王焱钢琴艺术学校,/Html/site_wangyanpiano.com.html,18122,30,网站简介：王焱钢琴艺术学校位于湖南长沙和常德，是全省大的钢琴艺术培训学校，本站有钢琴学习交流，钢琴曲欣赏鉴赏，钢琴购买维护，古典知识讲座等专题。需要雅马哈钢琴|珠江钢琴|买...
江苏省教育考试院,/Html/site_jseea.cn.html,172015,1062,网站简介：江苏省教育考试院门户网站（www.jseea.cn）。...
作业帮,/site_www.zybang.com.html,87818,1,网站简介：作业帮致力于为全国中小学生提供全学段的学习辅导服务，截至目前，作业帮用户量突破3亿，是中小学在线教育领军品牌。...
广西大学,/site_www.gxu.edu.cn.html,4618,250,网站简介：广西大学...
上海科技大学,/Html/site_shanghaitech.edu.cn.html,13787,38,网站简介：上海科技大学是由上海市人民政府与中国科学院共同举办、共同建设、共同管理，经教育部批准筹建的全日制研究型高等学校。学校由上海市主管。目前下设物质科学与技术学院、信...
波士顿大学,/Html/site_bu.edu.html,3531,85,网站简介：boston university is a leading private research institution with two primary campuses in the heart of boston and programs around the world....
内蒙古农业大学,/Html/site_imau.edu.cn.html,60773,164,网站简介：内蒙古农业大学（Inner Mongolia Agricultural University）是内蒙古自治区重点大学，国家西部大开发重点支持建设高校，校园位于内蒙古自治区历史文化名城呼和浩特市，被誉...
山西农业大学,/Html/site_sxau.edu.cn.html,53734,106,网站简介：山西农业大学（Shanxi Agricultural University）是一所以农科为优势，以生命科学为特色，农、理、工、文、法、经、管相结合的农业部与山西省人民政府共建的一所综合性农业...
浙江图书馆,/Html/site_zjlib.cn.html,34282,90,网站简介：浙江图书馆官方网站，浙江图书馆是中国历史悠久的公共图书馆之一，以曙光路新馆为总馆，另有孤山路、大学路馆舍和湖州市南浔嘉业藏书楼。建筑总面积4.7万平方米，并在全省各...
四川音乐学院,/Html/site_sccm.cn.html,202577,308,网站简介：四川音乐学院（Sichuan Conservatory Of Music）简称川音，是中国九大音乐学院之一，教育部确定的31所独立设置本科艺术院校之一。1939年3月初，我国话剧运动的先驱、著名戏...
上海图书馆,/Html/site_library.sh.cn.html,68955,260,网站简介：上海图书馆上海科学技术情报研究所是一所大型的综合性研究型公共图书馆、也是全国第一家省市级图书情报联合体。...
浙江科技学院,/Html/site_zust.edu.cn.html,119954,142,网站简介：浙江科技学院是一所以工学为主，集工学、艺术学、管理学、文学、理学、经济学为一体的多学科全日制省属本科院校。学校前身为成立于1980年的浙江大学附属杭州工业专科学校。...
2ch中文网,/Html/site_2chcn.com.html,49623,34,网站简介：2ch中文网，专门翻译日本2ch论坛趣味讨论串，日本网贴翻译、2ch趣味图片、2ch趣闻趣事、日本网民评论、2ch长篇故事等，分享日本人的评论以及日本趣闻，看看日本人眼中的中国...
南开大学,/site_www.nankai.edu.cn.html,8883,581,网站简介：南开大学官方网站，南开大学，创建于1919年，创办人是著名爱国教育家张伯苓先生，是敬爱的周恩来总理的母校。国家“211工程”和“985工程”重点建设高校。...
南昌航空大学,/site_www.nchu.edu.cn.html,15832,309,网站简介：南昌航空大学是一所以工为主，工理文管经法教艺等学科协调发展的多科性大学。学校创建于1952年，是全国首批具有学士学位授予权单位。1985年开始培养硕士研究生，1990年获硕...
厦门大学,/site_www.xmu.edu.cn.html,3308,413,网站简介：厦门大学官方网站，厦门大学是教育部直属的全国重点大学，由著名爱国华侨领袖陈嘉庚先生于1921年创建，是中国近代教育史上第一所由华侨创办的大学，也是中国唯一一所地处经...
沪江小D,/site_dict.hjenglish.com.html,2520,761,网站简介：沪江小d，好用的在线词典，拥有丰富可靠的词典数据，提供权威准确的英、日、法、韩、西班牙、德语在线查词、在线翻译服务。...
注册会计师全国统一考试网上报名,/site_cpaexam.cicpa.org.cn.html,82962,73,网站简介：注册会计师全国统一考试网上报名平台...
沪江日语,/site_jp.hjenglish.com.html,2520,1076,网站简介：沪江日语是沪江旗下日语学习资讯网站，提供丰富的日语资料、日语互动社区、日语等级考试报名和日语培训等内容，让你足不出户就能提高和培养日语学习和应用能力。...
上海大学,/site_www.shu.edu.cn.html,11793,180,网站简介：上海大学官方网站，上海大学是国家“211工程”重点建设的一所综合性大学，并被国家部委列入国家建设高水平大学项目和首批卓越工程师教育培养计划。...
21英语,/Html/site_i21st.cn.html,69686,215,网站简介：21英语网是中国具原创性的英语学习和教学网站，拥有独家的英语学习资料及教育资料，专注于打造巨量人气的英语学习交流平台，为全国英语学习者和教育者提供专业服务。...
哈尔滨工业大学,/site_www.hit.edu.cn.html,6019,327,网站简介：  哈尔滨工业大学（简称哈工大）隶属于工业和信息化部，是由工信部、教育部、黑龙江省共建的国家重点大学，是首批进入国家“211工程”和“985工程”建设的若干所大学之一。...
湖北省人事考试网,/site_www.hbsrsksy.cn.html,30278,0,网站简介：湖北省人事考试网由湖北人事考试院主办，负责湖北省内公务员、事业单位、选调生和职称考试的信息发布和网上报名。主要由人事考试院的考评四处负责管理。...
闽江学院,/Html/site_mju.edu.cn.html,46002,78,网站简介：闽江学院位于福建省福州市，是2002年经教育部正式批准的公办全日制多科性本科大学、中国首批“服务国家特殊需求专业硕士学位研究生教育试点”高校之一和大陆早实施“校校企...
东北大学秦皇岛分校,/Html/site_neuq.edu.cn.html,96483,30,网站简介：东北大学秦皇岛分校（Northeastern University at Qinhuangdao）位于奥运协办城市之一的秦皇岛市，是经中华人民共和国教育部正式批准成立，在东北大学统一规划下，面向全国...
桂林电子科技大学,/Html/site_guet.edu.cn.html,28183,113,网站简介：桂林电子科技大学座落在世界著名的风景游览城市和中国历史文化名城——广西壮族自治区桂林市，是工业和信息化部与广西壮族自治区共建高校、广西壮族自治区重点建设高校。中...
金华职业技术学院,/Html/site_jhc.cn.html,116516,62,网站简介：金华职业技术学院在创办于1994年的民办金华理工学院基础上筹建，1998年经国家教育部批准成立，2003年转为公办。...
英盛网,/Html/site_yingsheng.com.html,4827776,634,网站简介：英盛网是一个面向全国所有经营管理者、职场人士的在线学习及服务的在线培训平台，隶属于深圳市英盛网络教育科技有限公司。英盛网内容覆盖了人力资源，生产管理，营销管理，...
爱化学,/Html/site_ichemistry.cn.html,70188,80,"网站简介：爱化学（ichemistry.cn），CAS查询网站提供化工产品资料、化学品查询,支持化学品的CAS号(CAS登记号),中文名称,英文名称,分子式,化学式等查询;也支持化学结构检索!..."
武汉理工大学,/site_www.whut.edu.cn.html,4641,295,网站简介：　武汉理工大学是由原武汉工业大学、武汉交通科技大学、武汉汽车工业大学于2000年5月27日合并组建而成，是教育部直属的全国重点大学，是首批列入国家“211工程”重点建设的...
福建医科大学,/Html/site_fjmu.edu.cn.html,68724,93,网站简介： 福建医科大学创建于1937年，经过77年的建设发展，学校已形成学士、硕士、博士人才培养体系和“勤奋、严谨、求实、创新”优良校风，成为一所集教学、科研、医疗、预防和社会...
南京信息工程大学,/site_www.nuist.edu.cn.html,22371,48,网站简介：南京信息工程大学享有“中国气象人才摇篮”之美誉，其前身南京气象学院始建于1960年，1978年为全国重点大学，2004年更名为南京信息工程大学，是江苏省人民政府、教育部和中...
重庆科技学院,/Html/site_cqust.edu.cn.html,105680,8,网站简介：重庆科技学院是一所全日制公办普通本科院校，由两所具有60多年办学历史，办学声誉良好的原中央部委属学校——重庆工业高等专科学校和重庆石油高等专科学校（全国示范性高工...
四川外国语大学,/Html/site_sisu.edu.cn.html,98588,119,网站简介：四川外国语大学（简称“川外”）坐落在重庆市沙坪坝区，是一所全日制普通本科院校，是西南地区外语和涉外人才培养以及外国语言文化、对外经济贸易、国际问题研究的重要基地...
江西农业大学,/Html/site_jxau.edu.cn.html,110153,238,网站简介：江西农业大学是一所以农为优势、以生物技术为特色、多学科协调发展的多科性大学；具有博士学位授予权；是我国首批具有学士学位、硕士学位授予权单位之一；是全省早开展研究...
西南交通大学官网,/site_www.swjtu.edu.cn.html,18020,254,网站简介：西南交通大学（Southwest Jiaotong University）是中华人民共和国教育部直属，并由教育部、中国铁路总公司、四川省和成都市共建的全国重点大学，是首批进入国家“双一流”“...
江西省教育考试院,/Html/site_jxeea.cn.html,72521,258,网站简介：江西省教育考试院（www.jxeea.cn）。...
常青藤家教网,/Html/site_jiajiao400.com.html,358143,1366,"网站简介：专业的家教网★超过15万名真实家教信息,10万名注册家长,双方直接联络★特高级教师,名校大学生一对一上门辅导,免费试讲！无中介费用★全面覆盖北京上海等32座大中城市..."
河南理工大学,/Html/site_hpu.edu.cn.html,62220,165,网站简介：河南理工大学始建于1909年，是我国第一所矿业高等学府和河南省建立早的高等学校。...
中国人民大学,/site_www.ruc.edu.cn.html,3662,907,网站简介：中国人民大学官方网站，中国人民大学是中央部属高校，一所以人文社会科学为主，兼有部分理工学科的综合性研究型教育部直属全国重点大学。国家“211工程”和“985工程”重点...
美国之音,/Html/site_51voa.com.html,65795,127,"网站简介：美国之音（www.51voa.com）VOA听力下载,慢速英语,常速英语。..."
南京信息职业技术学院,/Html/site_njcit.cn.html,147691,74,网站简介：国有公办全日制高等职业技术学院，始创于1953年，现有信息技术类专业40多个，在校人数12000人。...
浙江人事考试网,/Html/site_zjks.com.html,42143,443,网站简介：浙江省人事考试办公室主办...
华南农业大学,/site_www.scau.edu.cn.html,16489,284,网站简介：华南农业大学（South China Agricultural University），建立于1909年，是一所以农业科学为优势、以生命科学为特色，农、工、文、理、经、管、法、艺术七大学科全面发展，具...
扇贝网,/Html/site_shanbay.com.html,10367,50,网站简介：扇贝网是一个专业的词汇学习网站。...
教育部全国高校教师网络培训中心,/Html/site_enetedu.com.html,39061,159,网站简介：教育部全国高校教师网络培训中心是教育部批准成立的高校教师培训机构，接受教育部高等教育司，教师工作司的直接领导，中心设在高等教育出版社，在全国设有55个省级分中心及...
东北财经大学,/Html/site_dufe.edu.cn.html,41160,326,网站简介：东北财经大学是以财经类学科为主，多学科协调发展的大学，网站内容涵盖学校概况、院系设置、人才培养、科学研究、合作交流、公共服务等，并设有针对学生、教工、校友、考生...
华北理工大学,/Html/site_ncst.edu.cn.html,202972,16,网站简介：华北理工大学，坐落在沿海现代化城市、环渤海经济区工业重镇—唐山市；是一所以工、医为主，理、经、管、文、法、艺多学科协调发展，具有留学生教育、研究生教育、本科教育...
武汉工程大学,/Html/site_wit.edu.cn.html,36671,182,网站简介：武汉工程大学创建于1972年6月，原名湖北化工石油学院，隶属湖北省。1980年3月，经教育部批准，更名为武汉化工学院，改由原化工部主管。1998年7月，随着高校管理体制的调整，...
中国地质大学（武汉）,/site_www.cug.edu.cn.html,46516,247,"网站简介：中国地质大学是教育部直属全国重点大学, 是国家批准设立研究生院的大学，是国家“211工程”、教育部“优势学科创新平台”项目建设的大学；中国地质大学（武汉）位于武汉东湖..."
上海纽约大学,/Html/site_shanghai.nyu.edu.html,1684,26,网站简介：...
国家大剧院官方网站,/Html/site_chncpa.org.html,164861,148,网站简介：欢迎光临国家大剧院官方网站。查询新演出资讯，在线选座订购演出票享至少九八折优惠，预订艺术普及活动票、参观票，高清演出视频、古典音乐免费视听...
中国论文网,/Html/site_xzbu.com.html,79739,269,"网站简介：学术文献共享网,贡献自己的力量，为祖国的科学技术添砖加瓦！..."
南昌大学,/site_www.ncu.edu.cn.html,9688,237,网站简介：南昌大学是一所“文理工医渗透、学研产用结合”的综合性大学，是江西省人民政府和教育部共建的国家“211工程”重点建设大学，是国家“中西部高校提升综合实力建设规划”和“...
中国传媒大学,/site_www.cuc.edu.cn.html,14058,746,网站简介：中国传媒大学（Communication University of China）简称“中传”，位于中华人民共和国首都北京，是国家教育部直属全国重点大学，是列入国家211工程、985工程优势学科创新平...
华中师范大学,/site_www.ccnu.edu.cn.html,17407,366,网站简介：华中师范大学（Central China Normal University）是中华人民共和国教育部直属的一所师范类、综合性研究型全国重点大学，是“211工程”、“985工程优势学科创新平台”重点建...
中国古筝网,/Html/site_guzheng.cn.html,23431,104,网站简介：中国古筝网的网址是www.guzheng.cn，于2007年5月1日启动并试运营，2008年8月8日正式运营，总部设在北京，旗下有扬州和香港两个运营中心，是古筝行业唯一大资金、集团化运作...
维普论文检测官方网站,/Html/site_vpcs.cqvip.com.html,1352,0,网站简介：维普论文检测系统，是国内领先的论文查重软件，可以快速准确地检测出毕业论文、博士、硕士论文、期刊论文中的不当引用、过度引用、论文抄袭、伪造、篡改等学术不端行为，自...
哈尔滨工业大学深圳研究生院,/site_www.hitsz.edu.cn.html,33939,82,网站简介：哈尔滨工业大学深圳研究生院创建于2002年，是“哈工大”建设国际知名高水平大学的重要组成部分，以培养全日制博士和硕士研究生为主，具有国际一流的软硬件设施。深研院全职...
广东考试服务网,/Html/site_5184.com.html,382774,336,网站简介：广东省考试服务网（www.5184.com），提供广东自学考试，广东普通高考，广东成人考试，学历认证，网上商城，自考在线报名，自考报考结果查询，高考成绩查询，高考录取查询，...
古诗词大全,/Html/site_slkj.org.html,245825,84,网站简介：古诗词大全（www.slkj.org）为网民提供唐诗、宋词、元曲等相关经典文艺作品。同时收集整理了幼儿、小学、初中、高中课本所含古诗。本站所有内容皆是精心整理后推出。...
河南省教育网,/Html/site_haedu.cn.html,193914,527,"网站简介：河南教育网是由河南省教育厅主管,河南省教育信息中心主办的教育信息门户网站,是河南权威的教育网络平台,提供阳光高考、考研、中考、自考、成考、英语四六级等教育,考试相关..."
寄托天下,/Html/site_gter.net.html,19129,216,网站简介：寄托天下网站（gter.net)创立于2000年4月，十多年来一直专注于全球出国考试、留学申请以及海外生活领域，在国内外出国者（gter）中有着广泛的影响力。其中，gter为寄托首创...
浙江省教育厅,/Html/site_zjedu.gov.cn.html,57984,2077,网站简介：浙江省教育厅...
开课吧,/Html/site_kaikeba.com.html,6096,105,网站简介：开课吧是专注于IT在线职业教育培训，拥有云计算视频教程、大数据网络课程、互联网营销、JAVA培训、html教程、android培训、ios培训等泛IT学科的在线学习平台、职业培训平台...
暨南大学,/site_www.jnu.edu.cn.html,3067,290,网站简介：暨南大学;华侨高学府;国家211工程重点综合性大学;广东;广州;人才...
湘潭大学,/site_www.xtu.edu.cn.html,14414,347,网站简介：湘潭大学（Xiangtan University），简称“湘大”，创办于1958年，是毛泽东主席亲自倡导创办的综合性全国重点大学 。1958年9月10日，毛泽东亲笔题写“湘潭大学”校名，并嘱托...
内蒙古师范大学,/Html/site_imnu.edu.cn.html,83212,123,"网站简介：内蒙古师范大学创建于1952年，是新中国成立后党和国家在边疆少数民族地区早建立的高等学校之一，自治区重点大学，是具有鲜明教师教育和民族教育特色的综合性师范大学, 被社..."
华中师大一附中,/Html/site_hzsdyfz.com.cn.html,117365,97,网站简介：华中师范大学第一附属中学是湖北省首批示范高中，该校在1962年被确定为湖北省首批重点中学，是湖北省人民政府唯一命名的“窗口学校”、湖北省佳文明单位。...
中央财经大学,/site_www.cufe.edu.cn.html,16528,327,网站简介：中央财经大学是教育部直属的国家“211工程”重点建设高校和国家“优势学科创新平台”项目首批试点高校。学校是新中国成立后中央人民政府创办的第一所新型高等财经院校，被誉...
北京联合大学,/Html/site_buu.edu.cn.html,79864,219,网站简介：北京联合大学是1985年经教育部批准成立的北京市属综合性大学，其前身是1978年北京市依靠清华、北大等大学创办的36所大学分校。...
梦幻网络,/Html/site_7139.com.html,92260,145,网站简介：教育资源第一站，资源丰富，内容实用，数百万资源完全免费，是您教育生涯中不可或缺的助手。提供试题、课件、教案、论文、范文、考试等资源免费下载、在线阅读。...
深圳大学,/site_www.szu.edu.cn.html,1837,248,网站简介：　深圳大学1983年经国务院批准创办。建校31年，实现了办学规模由建校规划4千人到实际在校生3万余人的快速发展，实现了办学层次由学士、硕士到博士教育的三级提升，成为有一...
创新网,/Html/site_noc.net.cn.html,46252,116,网站简介：全国信息技术创新与实践活动官方网站...
长春理工大学,/Html/site_cust.edu.cn.html,93543,424,网站简介：长春理工大学（Changchun University of Science and Technology）坐落在吉林省长春市，是一所以光电技术为特色，光、机、电、算、材相结合，工、理、文、经、管、艺、法多...
郑州轻工业学院,/Html/site_zzuli.edu.cn.html,226544,85,网站简介：郑州轻工业学院（Zhengzhou University of Light Industry）坐落在河南郑州，创建于1977年，是原国家轻工业部为培养行业高级人才在全国设立的八所本科高校之一，属河南省重...
莲山课件,/Html/site_5ykj.com.html,91976,100,"网站简介：莲山课件（www.5ykj.com），免费课件,课件下载,中学试题,教学教案,论文计划,公务公文。..."
对外经济贸易大学,/site_www.uibe.edu.cn.html,13580,327,网站简介：对外经济贸易大学是教育部直属的全国重点大学，国家“211工程”首批重点建设高校，坐落在首都北京朝阳区。学校校园规划精致，环境优雅，是中国社会主义经济建设事业人才培养...
考高分网,/site_www.kaotop.com.html,202032,0,网站简介：考高分网是完全免费的大型综合学习知识平台，涵盖小学，初中，高中，计算机编程，职业技能等优质知识点。想学习就上考高分网，全方位学习一网打尽！...
江苏大学,/site_www.ujs.edu.cn.html,5504,79,网站简介：  江苏大学是2001年8月经教育部批准，由原江苏理工大学、镇江医学院、镇江师范专科学校合并组建的以工科为特色的教学研究型综合性大学。原江苏理工大学的前身镇江农业机械学...
233网校,/site_wx.233.com.html,11068,1744,网站简介：233网校：全国十佳网络教育机构！专业服务10年，提供一级建造师，二级建造师，造价师，会计证，初中级会计职称，经济师，证券从业，银行从业，教师资格，职称英语，人力资源...
厦门大学嘉庚学院教务部,/Html/site_jwb.xujc.com.html,201199,7,网站简介：...
中国地质大学（北京）,/site_www.cugb.edu.cn.html,27875,258,网站简介：中国地质大学分别位于北京和武汉两地，校园贴吧名为“中国地质大学”吧，前身分别系北京地质学院和武汉地质学院，中国地质大学分为武汉校部和北京校部，中国地质大学在北京...
黄淮学院,/Html/site_huanghuai.edu.cn.html,134746,6098,网站简介：黄淮学院...
百利天下留学,/Html/site_bailitop.com.html,390998,661,"网站简介：百利天下留学为您提供出国留学相关服务,包括美国留学、英国留学、加拿大留学、日本留学的大学排名、留学费用、出国留学条件、出国留学流程等内容,是国内首家职业规划留学机..."
