公司名称,城市,营业收入,利润,上市日期,行业分类,产品类型
北京能为科技股份有限公司,北京市,2459.85万,247.30万,2013-08-07,其他污染治理,智能电厂综合解决方案、电除尘综合解决方案、电站锅炉燃烧综合精确管理系统、输煤系统环境治理解决方案、电厂脱硫废水负压低温浓缩技术
上海土友生物科技股份有限公司,上海市,2555.25万,-474.25万,2013-08-07,广告业,水污染治理系统工程
武汉景弘生态环境股份有限公司,武汉市,8121.47万,-2067.28万,2013-08-08,其他未列明专业技术服务业,建安、技术服务、运营
北京科胜伟达石油科技股份有限公司,北京市,1629.81万,114.77万,2013-08-08,石油和天然气开采辅助活动,技术服务、软件销售
北京锐创信通科技股份有限公司,北京市,319.63万,-229.30万,2013-08-08,软件开发,软件、硬件、技术开发技术服务
上海东岩机械股份有限公司,上海市,3.49亿,2612.63万,2013-08-08,有色金属铸造,铸件系列、汽车配件（三滤）、焊接产品
北京京鹏环宇畜牧科技股份有限公司,北京市,--,--,2013-08-07,畜牧机械制造,畜牧工程与装备
北京泓淇科技股份有限公司,北京市,1182.85万,379.01万,2013-08-08,软件开发,软件销售及服务、硬件销售
北京华索科技股份有限公司,北京市,3590.78万,710.24万,2013-08-08,工业自动控制系统装置制造,工业自动化仪器仪表销售、工业自动化系统集成销售、合同能源管理
北京和隆优化科技股份有限公司,北京市,7401.63万,2095.33万,2013-08-05,软件开发,智能优化产品与服务、仿真、信息化技术服务
北京威控科技股份有限公司,北京市,7570.10万,81.39万,2013-08-02,工业自动控制系统装置制造,智能硬件、技术服务费
上海奉天电子股份有限公司,上海市,4.83亿,4742.51万,2013-08-08,汽车零部件及配件制造,车载逆变器、车载DC-DC转换器、车载USB、高压水加热器、空调控制器、车载充电机
北京平安力合科技发展股份有限公司,北京市,4414.55万,-763.77万,2013-08-08,其他计算机制造,排队机及广告机、显示屏、设备租赁、技术服务
上海辰光医疗科技股份有限公司,上海市,1.96亿,2334.41万,2013-08-15,医疗诊断、监护及治疗设备制造,射频探测器、超导磁体、梯度
北京倚天凌云科技股份有限公司,北京市,2.15亿,442.97万,2013-08-13,云母制品制造,云母纸、云母带、阻燃带、外购线缆产品
北京深度量化机器人科技股份有限公司,北京市,--,--,2013-08-09,软件开发,软件开发
北京每日视界影视动画股份有限公司,北京市,1064.40万,-443.39万,2013-08-09,电视,动画长短片制作、影视特效内容制作、影视广告内容制作
北京维珍创意科技股份有限公司,北京市,238.48万,2894.90万,2013-08-16,软件开发,销售产品、销售软件、技术服务
北京达美盛软件股份有限公司,北京市,--,--,2013-08-12,软件开发,软件、技术服务
北京北化新橡特种材料科技股份有限公司,北京市,1.36亿,463.86万,2013-08-08,合成橡胶制造,混炼胶、功能性橡胶、热塑性弹性体TPV、无卤阻燃电缆料、石墨粉
上海巨灵信息技术股份有限公司,上海市,5710.97万,282.76万,2013-08-29,软件开发,智能制造、软件及服务、系统集成
上海四维文化传媒股份有限公司,上海市,8.23亿,4459.28万,2013-10-16,其他出版业,数字出版、租赁、服务
上海欧萨评价咨询股份有限公司,上海市,9751.92万,-619.52万,2013-10-16,环境保护监测,检测费、评价费、咨询费、设备及软件销售、数据服务费、节能技术服务费
武汉江扬环境科技股份有限公司,武汉市,2.42亿,3004.73万,2013-10-16,水污染治理,水处理设备、水环境工程
北京博德世达石油技术股份有限公司,北京市,5688.81万,843.15万,2013-10-16,石油和天然气开采辅助活动,油田测井技术服务、完井工具产品销售、技术开发与服务
智合新天(北京)传媒广告股份有限公司,北京市,1504.37万,10.57万,2013-10-16,广告业,户外媒体
北京世贸天阶生物科技股份有限公司,北京市,0.0000,-5018.51万,2013-10-16,化学药品制剂制造,片剂、胶囊
上海致远绿色能源股份有限公司,上海市,2.04亿,3155.11万,2013-10-18,其他原动设备制造,分布式新能源发电系统、通信基站新能源供、电系统
北京精英智通科技股份有限公司,北京市,9381.29万,-1315.98万,2013-10-16,软件开发,智能驾考产品、智慧驾培及智能交通产品、停车、技术服务及零配件销售
武汉希文科技股份有限公司,武汉市,3084.66万,370.19万,2013-10-22,其他输配电及控制设备制造,辅控系统、变电站自动化、调度自动化、环境控制系统
北京锦鸿希电信息技术股份有限公司,北京市,1.12亿,-174.08万,2013-10-16,通信系统设备制造,列控、列调、维保、监控
北京捷世智通科技股份有限公司,北京市,2.07亿,434.08万,2013-10-16,计算机整机制造,嵌入式计算机及国产芯片、监控系统及流量计
天津开发区中环系统电子工程股份有限公司,天津市,3651.35万,72.30万,2013-10-16,信息系统集成服务,维修、维护、智能物流通道系统、物流链货物查验系统、移动式单兵物流监管取证系统、建筑智能化
普康迪(北京)数码科技股份有限公司,北京市,337.49万,-571.09万,2013-10-23,信息系统集成服务,特种行业管理信息产品及服务、警务办公用信息产品及服务、预付式消费监管信息产品及服务
上海科洋科技股份有限公司,上海市,1.04亿,1472.19万,2013-11-06,供应用仪表及其他通用仪器制造,流量仪表、硫化氢项目
华韩医疗科学技术股份有限公司,南京市,9.63亿,1.02亿,2013-11-06,专科医院,整形科、皮肤科、牙科
天津皇冠幕墙装饰股份有限公司,天津市,2.22亿,885.10万,2013-11-06,金属门窗制造,门窗
北京朗威视讯科技股份有限公司,北京市,1024.19万,-279.10万,2013-11-08,广播电视节目制作及发射设备制造,传输系列产品、演播室产品、大型活动转播技术服务
上海银音信息科技股份有限公司,上海市,1.13亿,-3869.90万,2013-11-08,信息系统集成服务,货物销售、维护服务、设计施工
北京中搜网络技术股份有限公司,北京市,--,--,2013-11-08,互联网信息服务,第三代搜索、互联网解决方案服务、企悦、云悦
北京呈创科技股份有限公司,北京市,2.43亿,2046.40万,2013-11-06,信息系统集成服务,硬件、系统集成、服务、软著转让
优网科技(上海)股份有限公司,上海市,168.79万,-236.06万,2013-11-08,数据处理和存储服务,自有产品、第三方产品
上海鼎晖科技股份有限公司,上海市,1.03亿,153.88万,2013-11-15,光电子器件及其他电子器件制造,LED灯具产品、LED零件产品、房租
哇棒移动传媒股份有限公司,拉萨市,13.54亿,898.61万,2013-12-04,广告业,信息服务、广告代理、技术服务、服务费
武汉地大信息工程股份有限公司,武汉市,--,--,2013-11-13,软件开发,灾害监测与应急、GIS、物联网和无人机相关业务、地质信息化
武汉万德智新科技股份有限公司,武汉市,5113.77万,13.39万,2013-11-15,其他互联网服务,智慧校园、智慧园区、智慧政务
爱科凯能科技(北京)股份有限公司,北京市,2718.76万,-388.42万,2013-11-15,医疗、外科及兽医用器械制造,钬激光治疗机、配件
上海百傲科技股份有限公司,上海市,1.06亿,-2909.96万,2013-11-13,生物药品制造,试剂类、设备类、服务类
上海雷腾软件股份有限公司,上海市,1.45亿,1974.30万,2013-12-10,软件开发,车联网业务
上海基美影业股份有限公司,上海市,689.87万,-2767.98万,2013-12-10,电影和影视节目发行,宣传发行服务、版权
武汉同济现代医药科技股份有限公司,武汉市,3.59亿,727.26万,2013-12-20,化学药品制剂制造,西药、中成药、生物制品、医疗器械、经营租赁与服务、保健食品、原料药
北京世纪竹邦能源技术股份有限公司,北京市,--,--,2013-12-25,节能技术推广服务,节能服务、水电表项目销售
北京聚链时代科技集团股份有限公司,北京市,740.05万,-131.81万,2013-12-24,其他计算机制造,区块链应用技术、应税服务
东电创新(北京)科技发展股份有限公司,北京市,2561.39万,-1487.09万,2013-12-26,信息系统集成服务,集成服务、家庭/soho、安装服务、硬件、咨询服务
上海上电电机股份有限公司,上海市,1.87亿,708.16万,2013-12-23,电动机制造,大中型电机产成品、小型电机产成品、备件及修理
北京金天地影视文化股份有限公司,北京市,558.32万,-4824.04万,2014-01-24,电影和影视节目发行,影视剧销售
北京力码科信息技术股份有限公司,北京市,8518.37万,256.81万,2014-01-24,计算机外围设备制造,线缆标识设备、条码标签打印机、耗材、光学产品、软件
上海明波通信技术股份有限公司,上海市,7091.47万,1130.42万,2014-01-24,集成电路设计,集成电路设计服务、汽车电子产品及相关解决方案、计算机测试仪及相关附件产品
贵州威门药业股份有限公司,贵阳市,4.86亿,3880.94万,2014-01-24,中成药生产,热淋清颗粒
谢裕大茶叶股份有限公司,黄山市,2.16亿,914.36万,2014-01-24,茶及其他饮料作物种植,绿茶、红茶、花茶
安徽泰达新材料股份有限公司,黄山市,2.82亿,6517.48万,2014-01-24,有机化学原料制造,三甲酸及酸酐
北京英富森软件股份有限公司,北京市,--,--,2014-01-24,软件开发,信息管理、信息服务类产品
北京星立方科技发展股份有限公司,北京市,8390.31万,646.58万,2014-01-24,软件开发,软件销售、硬件销售、软件开发及服务业务
东亚装饰股份有限公司,青岛市,11.87亿,3048.99万,2014-01-24,建筑装饰业,建筑装饰、设计服务
深圳市海格物流股份有限公司,深圳市,10.85亿,2277.45万,2014-01-24,货物运输代理,运输、代理
上海昂盛智能工程股份有限公司,上海市,4353.18万,10.41万,2014-01-24,通讯及广播电视设备批发,硬件销售、系统集成销售、系统安装调试服务、咨询技术服、务
陕西成明节能技术股份有限公司,西安市,704.98万,-942.53万,2014-01-24,节能技术推广服务,工程施工、高新技术产品销售、技术服务
上海金政科技股份有限公司,上海市,1026.11万,-417.88万,2014-01-24,电动机制造,信息技术服务
深圳市大族元亨光电股份有限公司,深圳市,4.15亿,2968.07万,2014-01-24,光电子器件及其他电子器件制造,LED显示屏、LED交通屏、LED照明产品、LED售后维修
江苏红豆杉健康科技股份有限公司,无锡市,--,--,2014-01-24,其他园艺作物种植,红豆杉、药品、保健产品及酒类、绿化工程、服装
浙江中一检测研究院股份有限公司,宁波市,1.74亿,2415.55万,2014-01-24,环境保护监测,环境检测、健康与职业病体检、安全评价
大禹电气科技股份有限公司,孝感市,--,--,2014-01-24,变压器、整流器和电感器制造,软起动（含补偿）类、高低压变频调速类、开关配电柜成套类
西安旌旗电子股份有限公司,西安市,1.33亿,-1857.35万,2014-01-24,供应用仪表及其他通用仪器制造,水表、电表、热量表、燃气表
苏州苏大明世光学股份有限公司,苏州市,341.50万,-57.09万,2014-01-24,模具制造,非球面镜类
湖北中科网络科技股份有限公司,武汉市,--,--,2014-01-24,信息系统集成服务,建筑智能化、销售货物、服务业
郑州万特电气股份有限公司,郑州市,1.17亿,2511.03万,2014-01-24,电工仪器仪表制造,电力模拟仿真培训设备、电测仪器仪表、电力智能安全体感设备、特种作业实训考核系统、技术服务
湖南斯派克科技股份有限公司,长沙市,1.62亿,789.37万,2014-01-24,化学试剂和助剂制造,医药中间体、农药中间体
昆山三景科技股份有限公司,苏州市,4.16亿,826.85万,2014-01-24,光电子器件及其他电子器件制造,精密模具产品、金属加工、光学新材料产品
伯朗特机器人股份有限公司,东莞市,5.57亿,7509.07万,2014-01-24,其他金属加工机械制造,工业机器人、机械手、核心零部件、零件及其他
青岛奥盖克化工股份有限公司,青岛市,1.85亿,-171.94万,2014-01-24,染料制造,间双、溴氨酸、氢氧化镁、硫酸镁、间脲、间酸、活性镁肥、无水硫酸镁、溴化钠
哈尔滨亿汇达电气科技发展股份有限公司,哈尔滨市,358.58万,-4645.23万,2014-01-24,配电开关控制设备制造,35KV以下成套/单元配电及控制设备
无锡金帆钻凿设备股份有限公司,无锡市,1855.87万,-36.61万,2014-01-24,地质勘查专用设备制造,YG系列钻机、YGL履带系列钻机、MG50旋喷钻机、YDX岩心系列钻机、YGL声波钻机、跟管钻具和钻套管、维修费、YGC车载钻机
安徽励图信息科技股份有限公司,合肥市,3393.96万,69.34万,2014-01-24,有线广播电视传输服务,硬件、软件、工程
苏州声威电声股份有限公司,苏州市,--,--,2014-01-24,广播电视接收设备及器材制造,扬声器、原材料、房屋出租
武汉英思工程科技股份有限公司,武汉市,3550.97万,93.77万,2014-01-24,信息系统集成服务,CES-工程综合数据采集与分析系、PMS-工程管理信息系统及其服务项目、IOT—系统集成及其系统维护项目、SIM-工程多、媒体及其服务项目
苏州星火环境净化股份有限公司,苏州市,2531.21万,2292.76万,2014-01-24,危险废物治理,废液处置、固液混合处置、回收利用材料销售
广东奥美格传导科技股份有限公司,东莞市,--,--,2014-01-24,电线、电缆制造,传统线材（电梯及机械设备电缆）、新能源高压线、新能源交直流充电线缆
上海长合信息技术股份有限公司,上海市,--,--,2014-01-24,信息系统集成服务,光传输系统、数据网络系统、公务、调度电话系统
帝信科技股份有限公司,沈阳市,1.97亿,1526.07万,2014-01-24,信息系统集成服务,代理产品、系统集成产品、技术服务
厦门市天泉鑫膜科技股份有限公司,厦门市,805.17万,-159.07万,2014-01-24,气体、液体分离及纯净设备制造,膜分离系统、备品备件、项目运营、加工、设备出租、厂房出租、废品
济南微纳颗粒仪器股份有限公司,济南市,1704.02万,566.25万,2014-01-24,实验分析仪器制造,激光粒度仪、光子相关激光粒度仪、图像分析仪
北京中电方大科技股份有限公司,北京市,--,--,2014-01-24,信息技术咨询服务,技术开发、技术培训、技术服务、软件产品
天津晓沃环保工程股份公司,天津市,2423.29万,-1547.76万,2014-01-24,其他未列明建筑业,运营、商品、工程
湖南沄辉科技股份有限公司,长沙市,--,--,2014-01-24,工业自动控制系统装置制造,工业自动化行业的系统集成业务、产品分销业务
苏州三光科技股份有限公司,苏州市,1.32亿,1493.45万,2014-01-24,金属切削机床制造,机床产品、外加工产品
北京地林伟业科技股份有限公司,北京市,--,--,2014-01-24,软件开发,技术开发、技术服务、商品销售、软件销售
苏州轴承厂股份有限公司,苏州市,5.32亿,6318.44万,2020-07-27,轴承制造,轴承产品、滚动体
上海易城工程顾问股份有限公司,上海市,5121.75万,-2070.30万,2014-01-24,规划管理,设计服务
上海华之邦科技股份有限公司,上海市,--,--,2014-01-24,锅炉及辅助设备制造,低氮燃烧器、脱硫脱硝
上海永继电气股份有限公司,上海市,4.66亿,1078.34万,2014-01-24,电力电子元器件制造,小型断路器、漏电断路器、智能继电器、隔离开关
宁波宁变电力科技股份有限公司,宁波市,6322.96万,1079.74万,2014-01-24,变压器、整流器和电感器制造,变压器、电抗器、相关材料、劳务
北京联合创业环保工程股份有限公司,北京市,--,--,2014-01-24,污水处理及其再生利用,水处理、固废热解、沼气、除臭
成都乐创自动化技术股份有限公司,成都市,1.03亿,3314.41万,2014-01-24,工业自动控制系统装置制造,点胶控制系统、通用运动控制器、驱动器
四川长城软件科技股份有限公司,成都市,801.51万,-483.04万,2014-01-24,软件开发,移动终端应用、技术开发服务
上海飞田通信股份有限公司,上海市,1880.22万,-884.45万,2014-01-24,信息系统集成服务,运营维护、硬件销售、软件销售
陕西瑞科新材料股份有限公司,宝鸡市,11.86亿,6575.67万,2014-01-24,化学试剂和助剂制造,贵金属催化剂、贵金属催化剂循环加工服务
广州星业科技股份有限公司,广州市,2.02亿,1165.53万,2014-01-24,专项化学用品制造,表面活性剂、洗涤增效剂
苏州普滤得净化股份有限公司,苏州市,518.61万,-1633.44万,2014-01-24,水资源专用机械制造,水净化处理系统、直饮水设备、纤维布质风管、技术服务
苏州方林科技股份有限公司,苏州市,6.81亿,4791.72万,2014-01-24,锂离子电池制造,消费电子类锂电池组件、动力及储能类锂电池组件、手机配件
深圳市万泉河科技股份有限公司,深圳市,1.64亿,35.80万,2014-01-24,互联网信息服务,建筑业信息服务、汽车业信息服务、医疗业信息服务、印刷业信息服务、BPO业务
上海数聚软件系统股份有限公司,上海市,1.12亿,916.86万,2014-01-24,软件开发,技术开发及服务、软件销售
广东达元绿洲食品安全科技股份有限公司,广州市,9642.12万,-2978.15万,2014-01-24,质检技术服务,食安智能化快检仪器（含软件）、互联网+第三方检测服务、食安快检试剂
星弧涂层新材料科技(苏州)股份有限公司,苏州市,--,--,2014-01-24,金属表面处理及热处理加工,涂层加工、涂层设备、等离子体设备、残靶
上海亚杜润滑材料股份有限公司,上海市,3051.62万,299.24万,2014-01-24,原油加工及石油制品制造,自有品牌润滑油脂
广东松本绿色新材股份有限公司,江门市,7153.33万,-4044.77万,2014-01-24,轻质建筑材料制造,硅酸钙类防火装修材料、多功能装饰水泥制品、天然无机生态板、建筑隔墙用轻质条板、装配式多功能复合墙、一体化成品墙
英极软件(大连)股份有限公司,大连市,1.42亿,-550.80万,2014-01-24,软件开发,建材、机械、贸易
无锡华昊电器股份有限公司,无锡市,2.28亿,2387.24万,2014-01-24,电线、电缆制造,电线、线束
北京将至信息科技发展股份有限公司,北京市,9523.58万,123.65万,2014-01-24,书、报刊印刷,广告推广、游戏运营
武汉三灵科技产业股份有限公司,武汉市,--,--,2014-01-24,化学试剂和助剂制造,试样制备耗材与仪器
湖南广信科技股份有限公司,邵阳市,--,--,2014-01-24,绝缘制品制造,电绝缘材料、电绝缘成型件
重庆和航科技股份有限公司,重庆市,1202.85万,-661.14万,2014-01-24,信息系统集成服务,商品销售、技术服务、技术开发
深圳市万人市场调查股份有限公司,深圳市,3085.46万,-518.47万,2014-01-24,市场调查,市场调查、贸易
西安汇龙科技股份有限公司,西安市,9078.65万,-4048.97万,2014-01-24,移动电信服务,移动通信工程安装及维护、移动通信网络优化、通讯软件服务
大连恒锐科技股份有限公司,大连市,3552.41万,-171.06万,2014-01-24,软件开发,足迹采集和识别系列产品、图像处理产品、鞋样本信息收集与管理服务
东莞市百大新能源股份有限公司,东莞市,--,--,2014-01-24,非金属废料和碎屑加工处理,合同能源管理、生物质颗粒燃料、过滤器、生物质气化装置、生物质炭
杭州德联科技股份有限公司,杭州市,8173.68万,3.96亿,2014-01-24,信息系统集成服务,热能设备及控制系统、工业自动化设备及系统、扬尘及噪音监测设备、能源运营及管理服务、物联网及软件技术服务
浙江三网科技股份有限公司,杭州市,3845.55万,-400.64万,2014-01-24,互联网接入及相关服务,技术服务劳务类、一般货物及劳务、即征即退货物及劳务
大连陆海科技股份有限公司,大连市,7895.21万,23.58万,2014-01-24,信息系统集成服务,软件集成、服务、船舶通信导航系统集成
华艺生态园林股份有限公司,合肥市,7.73亿,4485.97万,2014-01-24,其他土木工程建筑,苗木销售、设计服务、生态环境治理、养护服务、园林景观
苏州太湖电工新材料股份有限公司,苏州市,5.18亿,4031.01万,2014-01-24,涂料制造,绝缘漆、表面漆、线圈、柔软复合材料
南京奥视威电子科技股份有限公司,南京市,1.98亿,933.59万,2014-01-24,光电子器件及其他电子器件制造,广电前端产品、广电中后端产品
树业环保科技股份有限公司,汕头市,8.39亿,2524.96万,2014-01-24,非金属废料和碎屑加工处理,包装产品、聚酯产品
广西春茂投资股份有限公司,玉林市,8.51亿,762.71万,2014-01-24,鸡的饲养,猪、鸡、饲料
深圳市方迪科技股份有限公司,深圳市,--,--,2014-01-24,信息系统集成服务,系统集成、自助设备、技术服务
贵州东方世纪科技股份有限公司,贵阳市,4947.47万,213.78万,2014-01-24,河湖治理及防洪设施工程建筑,水利信息化相关的咨询设计、软件开发服务、系统集成、运行维护
深圳市行健自动化股份有限公司,深圳市,1.52亿,2500.98万,2014-01-24,信息系统集成服务,产品销售、整体技术解决方案、技术服务
新疆锦棉种业科技股份有限公司,伊犁哈萨克自治州,3.39亿,1599.69万,2014-01-24,棉花种植,种子、肥料、地膜、农药、棉花
杭州哲达科技股份有限公司,杭州市,3.05亿,2498.27万,2014-01-24,信息系统集成服务,工业系统服务、智慧流体产品、自动化控制产品及技术服务
郑州豪威尔电子科技股份有限公司,郑州市,5415.83万,646.67万,2014-01-24,农林牧渔专用仪器仪表制造,转向管柱总成、联合收割机报警器、联合收割机新型可调式方向机总成、仪器仪表、液晶终端显示器、扶手箱座椅总成、智能控制器、座椅、GPS终端机
昆明安泰得软件股份有限公司,昆明市,6797.96万,605.57万,2014-01-24,软件开发,SaaS云服务、软件销售、航拍测绘及系统集成
成都网动光电子技术股份有限公司,成都市,3640.72万,351.64万,2014-01-24,光电子器件及其他电子器件制造,光模块、光器件
海能未来技术集团股份有限公司,济南市,2.47亿,5119.01万,2014-01-24,实验分析仪器制造,有机元素分析系列、样品前处理系列、色谱光谱系列、通用仪器系列
芜湖盛力科技股份有限公司,芜湖市,1.05亿,89.09万,2014-01-24,液压和气压动力机械及元件制造,空气（真空）助力制动系统部件、气压制动系统部件、液压制动系统部件
安徽峆一药业股份有限公司,滁州市,2.09亿,2719.28万,2014-01-24,化学试剂和助剂制造,抗过敏类、抗氧化类、抗血栓类、解热镇痛类、胃溃疡类、抗病毒类、紫外线吸收剂
成都网阔信息技术股份有限公司,成都市,1.01亿,450.34万,2014-01-24,其他计算机制造,车联网业务、驾驶培训系统
郑州辰维科技股份有限公司,郑州市,5165.92万,344.77万,2014-01-24,软件开发,软件系统及研发、仪器、测量服务、测绘服务
河源富马硬质合金股份有限公司,河源市,2.48亿,2726.45万,2014-01-24,有色金属合金制造,硬质合金刀头、硬质合金木工刀、整体硬质合金圆片、硬质合金非标异型产品
福建求实智能股份有限公司,厦门市,--,--,2014-01-24,数字内容服务,智能技术产品
南京旭建新型建材股份有限公司,南京市,2.92亿,1106.98万,2014-01-24,轻质建筑材料制造,加气混凝土（ALC）制品及施工安装、建筑总承包施工
广州普金计算机科技股份有限公司,广州市,1778.61万,-7100.62万,2014-01-24,软件开发,软件及硬件销售、网络及服务、租赁
江西佳信捷电子股份有限公司,赣州市,8440.46万,-1753.46万,2014-01-24,影视录放设备制造,安防产品、系统集成项目、技术服务
杭州东创科技股份有限公司,杭州市,--,--,2014-01-24,软件开发,数据采集处理技术、云数据物联网平台
安徽佳先功能助剂股份有限公司,蚌埠市,4.79亿,6664.11万,2020-07-27,化学试剂和助剂制造,PVC新型环保热稳定剂及助剂
广东旭龙物联科技股份有限公司,广州市,6787.53万,683.38万,2014-01-24,计算机外围设备制造,条码扫描器、应用软件开发
厦门蓝斯通信股份有限公司,厦门市,4859.01万,-796.69万,2014-01-24,通信系统设备制造,智能车载产品、无线数传产品、软件产品、技术、材料销售、售后维修、出租业务
济南老来寿生物集团股份有限公司,济南市,--,--,2014-01-24,保健食品制造,保健产品、其他产品、服务收入
大同新成新材料股份有限公司,大同市,2.71亿,-5258.87万,2014-01-24,石墨及碳素制品制造,石墨制品、电极、加工业务、附属产品、活性炭、碳滑板
华博胜讯信息科技股份有限公司,合肥市,--,--,2014-01-24,信息系统集成服务,系统集成、软件及服、互联网运营服务
大连奥远电子股份有限公司,大连市,1.13亿,234.87万,2014-01-24,信息系统集成服务,企业级系统集成、智慧应用云产品与服务
山东大正医疗器械股份有限公司,威海市,1.04亿,2102.40万,2014-01-24,医疗、外科及兽医用器械制造,医疗器械、卫生材料
威海威硬工具股份有限公司,威海市,1.02亿,2424.01万,2014-01-24,切削工具制造,平面类刀具、旋转类刀具
安徽中科自动化股份有限公司,安庆市,7686.75万,1324.69万,2014-01-24,烟草生产专用设备制造,烟草烤房设备、电能烤房设备、粮食烘干机、注塑环保垃圾桶、注塑物流托盘
江苏亚奥科技股份有限公司,南京市,1.86亿,705.77万,2014-01-24,信息系统集成服务,动力环境监控系统、视频监控系统、软件产品
厦门超宇环保科技股份有限公司,厦门市,--,--,2014-01-24,丙纶纤维制造,丙纶毡 、高温毡、加工
潍坊万隆电气股份有限公司,潍坊市,5025.36万,286.69万,2014-01-24,发电机及发电机组制造,发电机、车用电器
蚌埠市双环电感股份有限公司,蚌埠市,--,--,2014-01-24,电子元件及组件制造,电感器、变压器
郑州众智科技股份有限公司,郑州市,2.03亿,6812.43万,2014-01-24,其他输配电及控制设备制造,控制器类、组件类、其他类
宁夏上陵牧业股份有限公司,银川市,5.70亿,6172.59万,2014-01-24,牛的饲养,肉牛代理、养殖服务、奶制品
苏州苏玺文化旅游集团股份有限公司,苏州市,--,--,2014-01-24,食品及饲料添加剂制造,口香糖基础原料（食品添加剂）和食品包装材料
海南中视文化传播股份有限公司,海口市,1.18亿,-2947.77万,2014-01-24,电影放映,电影院线、媒体运营
中山银利智能科技股份有限公司,中山市,928.68万,-916.82万,2014-01-24,安全系统监控服务,弱电监控设备工程、追溯系统、银利数字视频监控设备、物业管理系统
青岛丰光精密机械股份有限公司,青岛市,2.63亿,4892.71万,2020-12-28,金属结构制造,精密直线导轨滑块、高速列车减震器主件、伺服电机主轴、汽车安全带装置转轴、汽车发动机涨紧支臂、高速列车高压连接器、自动化工厂柔性生产线配件、真空泵主轴、高端家电电路板核心散热部件、产业机器人精密配件、精密工业工具零件
山东远大朗威教育科技股份有限公司,济南市,6771.92万,1752.96万,2014-01-24,软件开发,产品销售、技术服务
沈阳中科三耐新材料股份有限公司,沈阳市,1.11亿,2446.42万,2014-01-24,有色金属铸造,高温母合金、航空发动机系列、铸件、燃机、增压器叶片
江苏速升自动化装备股份有限公司,无锡市,1807.66万,-695.16万,2014-01-24,其他专用设备制造,智能自动化系统集成装备、装配自动化系统集成装备、涂装自动化系统集成装备、军用装备
沈阳麟龙科技股份有限公司,沈阳市,4.95亿,1.90亿,2014-01-24,软件开发,证券分析软件销售及数据信息服务、证券投资咨询服务
青岛文达通科技股份有限公司,青岛市,6.50亿,5725.28万,2014-01-24,物业管理,信息系统集成、物业服务
济南新吉纳远程测控股份有限公司,济南市,1609.40万,-203.89万,2014-01-24,工业自动控制系统装置制造,软件、技术服务、硬件销售
大连博控科技股份有限公司,大连市,3268.22万,129.02万,2014-01-24,供应用仪表及其他通用仪器制造,工业温度、传感器、热量表温度传感器、超声波水表
大连世安科技股份有限公司,大连市,2529.03万,13.32万,2014-01-24,社会公共安全设备及器材制造,自动扫描灭火装置、智能水炮、灭火系统、区域控制箱红外探测器、软件技术服务费
苏州康捷医疗股份有限公司,苏州市,6390.34万,1562.64万,2014-01-24,光学仪器制造,眼科医疗产品、眼科医疗配套产品
泰谷生态科技集团股份有限公司,长沙市,--,--,2014-01-24,有机肥料及微生物肥料制造,有机肥、生物有机肥、兽药、水溶肥、生石灰、粒状培养土、育苗盘、复混肥产品、VIP试验建设项目、秸秆腐熟剂、工程项目、土壤调理剂、有机尿胺、重金属污染项目
大连量天科技发展股份有限公司,大连市,--,--,2014-01-24,其他互联网服务,工业互联网平台、云 MES、智能工厂、智能机器人、5G+应用
厦门英诺尔电子科技股份有限公司,厦门市,1.14亿,2055.40万,2014-01-24,印制电路板制造,线路板系列产品、物联网RFID系列产品、幼儿教育产品
申昱环保科技股份有限公司,成都市,--,--,2014-01-24,钢压延加工,环保水处理技术、新技术的开发、新技术应用、技术咨询、环保水处理试验服务、环保水处理设备
郑州欧丽信大电子信息股份有限公司,郑州市,8746.33万,456.72万,2014-01-24,信息系统集成服务,人防警报通信系统、多媒体警报、集成应急指挥通信装车、无线通信系统
成都恒成工具股份有限公司,成都市,7696.74万,897.76万,2014-01-24,切削工具制造,木工刀具
云南铜业科技发展股份有限公司,昆明市,6871.00万,420.17万,2014-01-24,其他常用有色金属冶炼,硒产品、银-外购、房屋租赁、铸铜转子、碲化铜、镀锡铜银合金、含碲物料、银粉产品、粗碲空格、废旧物资、技术服务、物管、加工费、铜料销售、电机/导电梁销售及加工业务
柳州爱格富食品科技股份有限公司,柳州市,1917.96万,-383.02万,2014-01-24,食品及饲料添加剂制造,蔗糖酯、磷酸盐、复配类、农产品类、G5类、广告服务类
重庆渝万通新材料科技股份有限公司,重庆市,5591.30万,105.95万,2014-01-24,木门窗、楼梯制造,木质防火门、木质装饰防火门、钢木防火门、钢质防火门、防火卷帘门、防火窗、不锈钢玻璃防火门、挡烟垂壁、安装
哈尔滨恒通排水设备制造股份有限公司,哈尔滨市,1191.77万,208.21万,2014-01-24,环境保护专用设备制造,污水提升设备、隔油强排设备
哈尔滨中大型材科技股份有限公司,哈尔滨市,5039.63万,-361.65万,2014-01-24,塑料板、管、型材制造,PVC塑料型材、高分子石塑材
安徽扬子地板股份有限公司,滁州市,5.25亿,-1.12亿,2014-01-24,地板制造,实木复合地板、强化复合地板、实木地板、石塑地板
石家庄五龙制动器股份有限公司,石家庄市,5507.18万,201.58万,2014-01-24,电梯、自动扶梯及升降机制造,电梯制动器、常规制动器、扶梯附加制动器
大连翼兴节能科技股份有限公司,大连市,5013.28万,-1646.06万,2014-01-24,其他建筑安装业,修缮及施工
